Class	Ind	Var	order	color
TPES	Coal|w/o CCS	Prm_Ene_Coa_wo_CCS	1	'#000000'
TPES	Coal|w/ CCS	Prm_Ene_Coa_w_CCS	2	'#7f878f'
TPES	Oil|w/o CCS	Prm_Ene_Oil_wo_CCS	3	'#ff2800'
TPES	Oil|w/ CCS	Prm_Ene_Oil_w_CCS	4	'#ffd1d1'
TPES	Gas|w/o CCS	Prm_Ene_Gas_wo_CCS	5	'#9a0079'
TPES	Gas|w/ CCS	Prm_Ene_Gas_w_CCS	6	'#c7b2de'
TPES	Nuclear	Prm_Ene_Nuc	7	'#663300'
TPES	Hydro	Prm_Ene_Hyp	8	'#0041ff'
TPES	Solar	Prm_Ene_Solar	9	'#b4ebfa'
TPES	Wind	Prm_Ene_Win	10	'#ff9900'
TPES	Biomass|w/o CCS	Prm_Ene_Bio_wo_CCS	11	'#35a16b'
TPES	Biomass|w/ CCS	Prm_Ene_Bio_w_CCS	12	'#cbf266'
TPES	Geothermal	Prm_Ene_Geo	13	'#edc58f'
TPES	SecondaryTrade	Prm_Ene_Sec_Ene_Trd	14	'#377EB8'
Power	Coal|w/o CCS	Sec_Ene_Ele_Coa_wo_CCS	1	'#000000'
Power	Coal|w/ CCS	Sec_Ene_Ele_Coa_w_CCS	2	'#7f878f'
Power	Oil|w/o CCS	Sec_Ene_Ele_Oil_wo_CCS	3	'#ff2800'
Power	Oil|w/ CCS	Sec_Ene_Ele_Oil_w_CCS	4	'#ffd1d1'
Power	Gas|w/o CCS	Sec_Ene_Ele_Gas_wo_CCS	5	'#9a0079'
Power	Gas|w/ CCS	Sec_Ene_Ele_Gas_w_CCS	6	'#c7b2de'
Power	Nuclear	Sec_Ene_Ele_Nuc	7	'#663300'
Power	Hydro	Sec_Ene_Ele_Hyp	8	'#0041ff'
Power	Solar	Sec_Ene_Ele_Solar	9	'#b4ebfa'
Power	Wind	Sec_Ene_Ele_Win	10	'#ff9900'
Power	Biomass|w/o CCS	Sec_Ene_Ele_Bio_wo_CCS	11	'#35a16b'
Power	Biomass|w/ CCS	Sec_Ene_Ele_Bio_w_CCS	12	'#cbf266'
Power	Geothermal	Sec_Ene_Ele_Geo	13	'#edc58f'
Power	Others	Sec_Ene_Ele_Oth	14	'#377EB8'
Power_heat	Coal|w/o CCS	Sec_Ene_Ele_Heat_Coa_wo_CCS	1	'#000000'
Power_heat	Coal|w/ CCS	Sec_Ene_Ele_Heat_Coa_w_CCS	2	'#7f878f'
Power_heat	Oil|w/o CCS	Sec_Ene_Ele_Oil_wo_CCS	3	'#ff2800'
Power_heat	Oil|w/ CCS	Sec_Ene_Ele_Oil_w_CCS	4	'#ffd1d1'
Power_heat	Gas|w/o CCS	Sec_Ene_Ele_Heat_Gas_wo_CCS	5	'#9a0079'
Power_heat	Gas|w/ CCS	Sec_Ene_Ele_Heat_Gas_w_CCS	6	'#c7b2de'
Power_heat	Nuclear	Sec_Ene_Ele_Heat_Nuc	7	'#663300'
Power_heat	Hydro	Sec_Ene_Ele_Hyp	8	'#0041ff'
Power_heat	Solar	Sec_Ene_Ele_Solar	9	'#b4ebfa'
Power_heat	Wind	Sec_Ene_Ele_Win	10	'#ff9900'
Power_heat	Biomass|w/o CCS	Sec_Ene_Ele_Heat_Bio_wo_CCS	11	'#35a16b'
Power_heat	Biomass|w/ CCS	Sec_Ene_Ele_Heat_Bio_w_CCS	12	'#cbf266'
Power_heat	Geothermal	Sec_Ene_Ele_Heat_Geo	13	'#edc58f'
Power_heat	Others	Sec_Ene_Ele_Heat_Oth	14	'#377EB8'
TFC_fuel	Sol_coa	Fin_Ene_SolidsCoa	1	'#E41A1C'
TFC_fuel	Sol_bio	Fin_Ene_SolidsBio	2	'#4DAF4A'
TFC_fuel	Liquid_oil	Fin_Ene_Liq_Oil	3	'#377EB8'
TFC_fuel	Liquid_bio	Fin_Ene_Liq_Bio	4	'#8DA0CB'
TFC_fuel	Liquid_syn	Fin_Ene_Liq_Hyd_syn	5	'#FC8D62'
TFC_fuel	Liquid_coa	Fin_Ene_Liq_Coa	6	'#7f878f'
TFC_fuel	Gas_nat	Fin_Ene_Gas_Nat_Gas	7	'#A65628'
TFC_fuel	Gas_syn	Fin_Ene_Gas_Hyd_syn	8	'#ff9900'
TFC_fuel	Electricity	Fin_Ene_Ele	9	'#FFFF33'
TFC_fuel	Heat	Fin_Ene_Heat	10	'#FF7F00'
TFC_fuel	Hydrogen	Fin_Ene_Hyd	11	'#984EA3'
Landuse	Build-up	Lan_Cov_Bui_Are	6	'#E41A1C'
Landuse	Cropland (for food)	Lan_Cov_Cro_Non_Ene_Cro	1	'#377EB8'
Landuse	Forest	Lan_Cov_Frs	2	'#4DAF4A'
Landuse	Pasture	Lan_Cov_Pst	3	'#984EA3'
Landuse	Energy Crops	Lan_Cov_Cro_Ene_Cro	4	'#FF7F00'
Landuse	Other Land	Lan_Cov_Oth_Nat_Lan	7	'#FFFF33'
TFC_Sector	Industry	Fin_Ene_Ind	1	'#66C2A5'
TFC_Sector	Transport	Fin_Ene_Tra_w_bun	2	'#FC8D62'
TFC_Sector	Commercial	Fin_Ene_Com	3	'#8DA0CB'
TFC_Sector	Residential	Fin_Ene_Res	4	'#E78AC3'
TFC_Sector	NonEnergy	Fin_Ene_NonEneUse	5	'#E41A1C'
TFC_Sector	CDR	Fin_Ene_Car_Man	6	'#FF9900'
TFC_Ind	Coal	Fin_Ene_Ind_SolidsCoa	1	'#E41A1C'
TFC_Ind	Biomass	Fin_Ene_Ind_SolidsBio	2	'#4DAF4A'
TFC_Ind	Liquid_oil	Fin_Ene_Ind_Liq_Oil	2	'#377EB8'
TFC_Ind	Liquid_bio	Fin_Ene_Ind_Liq_Bio	3	'#8DA0CB'
TFC_Ind	Liquid_syn	Fin_Ene_Ind_Liq_Hyd_syn	4	'#FC8D62'
TFC_Ind	Liquid_coa	Fin_Ene_Ind_Liq_Coa	5	'#7f878f'
TFC_Ind	Gas_nat	Fin_Ene_Ind_Gas_Nat_Gas	6	'#A65628'
TFC_Ind	Gas_syn	Fin_Ene_Ind_Gas_Hyd_syn	7	'#ff9900'
TFC_Ind	Electricity	Fin_Ene_Ind_Ele	8	'#FFFF33'
TFC_Ind	Heat	Fin_Ene_Ind_Heat	9	'#FF7F00'
TFC_Ind	Hydrogen	Fin_Ene_Ind_Hyd	10	'#984EA3'
TFC_Tra	Solid	Fin_Ene_Tra_Solids	1	'#E41A1C'
TFC_Tra	Liquid_oil	Fin_Ene_Tra_Liq_Oil	2	'#377EB8'
TFC_Tra	Liquid_bio	Fin_Ene_Tra_Liq_Bio	3	'#8DA0CB'
TFC_Tra	Liquid_syn	Fin_Ene_Tra_Liq_Hyd_syn	4	'#FC8D62'
TFC_Tra	Liquid_coa	Fin_Ene_Tra_Liq_Coa	5	'#7f878f'
TFC_Tra	Gas_nat	Fin_Ene_Tra_Gas_Nat_Gas	6	'#A65628'
TFC_Tra	Gas_syn	Fin_Ene_Tra_Gas_Hyd_syn	7	'#ff9900'
TFC_Tra	Electricity	Fin_Ene_Tra_Ele	8	'#FFFF33'
TFC_Tra	Heat	Fin_Ene_Tra_Heat	9	'#FF7F00'
TFC_Tra	Hydrogen	Fin_Ene_Tra_Hyd	10	'#984EA3'
TFC_Com	SolidCoal	Fin_Ene_Com_SolidsCoa	1	'#E41A1C'
TFC_Com	SolidBio	Fin_Ene_Com_SolidsBio	2	'#4DAF4A'
TFC_Com	Liquid_oil	Fin_Ene_Com_Liq_Oil	3	'#377EB8'
TFC_Com	Liquid_bio	Fin_Ene_Com_Liq_Bio	4	'#8DA0CB'
TFC_Com	Liquid_syn	Fin_Ene_Com_Liq_Hyd_syn	5	'#FC8D62'
TFC_Com	Liquid_coa	Fin_Ene_Com_Liq_Coa	6	'#7f878f'
TFC_Com	Gas_nat	Fin_Ene_Com_Gas_Nat_Gas	7	'#A65628'
TFC_Com	Gas_syn	Fin_Ene_Com_Gas_Hyd_syn	8	'#ff9900'
TFC_Com	Electricity	Fin_Ene_Com_Ele	9	'#FFFF33'
TFC_Com	Heat	Fin_Ene_Com_Heat	10	'#FF7F00'
TFC_Com	Hydrogen	Fin_Ene_Com_Hyd	11	'#984EA3'
TFC_Res	SolidCoal	Fin_Ene_Res_SolidsCoa	1	'#E41A1C'
TFC_Res	SolidBio	Fin_Ene_Res_SolidsBio	2	'#4DAF4A'
TFC_Res	Liquid_oil	Fin_Ene_Res_Liq_Oil	3	'#377EB8'
TFC_Res	Liquid_bio	Fin_Ene_Res_Liq_Bio	4	'#8DA0CB'
TFC_Res	Liquid_syn	Fin_Ene_Res_Liq_Hyd_syn	5	'#FC8D62'
TFC_Res	Liquid_coa	Fin_Ene_Res_Liq_Coa	6	'#7f878f'
TFC_Res	Gas_nat	Fin_Ene_Res_Gas_Nat_Gas	7	'#A65628'
TFC_Res	Gas_syn	Fin_Ene_Res_Gas_Hyd_syn	8	'#ff9900'
TFC_Res	Electricity	Fin_Ene_Res_Ele	9	'#FFFF33'
TFC_Res	Heat	Fin_Ene_Res_Heat	10	'#FF7F00'
TFC_Res	Hydrogen	Fin_Ene_Res_Hyd	11	'#984EA3'
Liquids	Coal|w/o CCS	Sec_Ene_Liq_Coa_wo_CCS	1	'#000000'
Liquids	Coal|w/ CCS	Sec_Ene_Liq_Coa_w_CCS	2	'#7f878f'
Liquids	Coal	Sec_Ene_Liq_Coa	3	'#7f878f'
Liquids	Biomass|w/o CCS	Sec_Ene_Liq_Bio_wo_CCS	5	'#35a16b'
Liquids	Biomass|w/ CCS	Sec_Ene_Liq_Bio_w_CCS	6	'#cbf266'
Liquids	Oil	Sec_Ene_Liq_Oil	7	'#FFFF33'
Liquids	Syn	Sec_Ene_Liq_Hyd_syn	8	'#E41A1C'
Investment	Fossil	Inv_Ene_Sup_Ext_Fos	1	'#E41A1C'
Investment	Industry	Inv_Ene_Dem_Ind_Eff_and_Dec	2	'#66C2A5'
Investment	Buildings	Inv_Ene_Dem_Res_and_Com_Eff_and_Dec	3	'#8DA0CB'
Investment	Transport	Inv_Ene_Dem_Tra_Eff_and_Dec	4	'#FC8D62'
Investment	Electricity	Inv_Ene_Sup_Ele	5	'#FFFF33'
Investment	Liquid	Inv_Ene_Sup_Liq	6	'#377EB8'
Investment	Gas	Inv_Ene_Sup_Gas	7	'#daaa27ff'
Investment	Solids	Inv_Ene_Sup_Solids	8	'#A65628'
Investment	Heat	Inv_Ene_Sup_Heat	9	'#FF7F00'
Investment	Hydrogen	Inv_Ene_Sup_Hyd	10	'#984EA3'
Investment	BioExtraction	Inv_Ene_Sup_Ext_BioEne	11	'#35a16b'
Investment	DAC	Inv_Ene_Sup_Oth	12	'#7f878f'
Investment	CCS	Inv_Ene_Sup_CO2_Tra_and_Sto	13	'#000000'
Hydrogen	Coal|w/o CCS	Sec_Ene_Hyd_Coa_wo_CCS	1	'#000000'
Hydrogen	Coal|w/ CCS	Sec_Ene_Hyd_Coa_w_CCS	2	'#7f878f'
Hydrogen	Gas|w/o CCS	Sec_Ene_Hyd_Gas_wo_CCS	3	'#9a0079'
Hydrogen	Gas|w/ CCS	Sec_Ene_Hyd_Gas_w_CCS	4	'#c7b2de'
Hydrogen	Biomass|w/o CCS	Sec_Ene_Hyd_Bio_wo_CCS	5	'#35a16b'
Hydrogen	Biomass|w/ CCS	Sec_Ene_Hyd_Bio_w_CCS	6	'#cbf266'
Hydrogen	Electricity	Sec_Ene_Hyd_Ele	7	'#FFFF33'
AnnualInvest	Industry	Inv_Ann_Ind	1	'#66C2A5'
AnnualInvest	Commercial	Inv_Ann_Res_and_Com_Com	2	'#8DA0CB'
AnnualInvest	Residential	Inv_Ann_Res_and_Com_Res	3	'#E78AC3'
AnnualInvest	Transport	Inv_Ann_Tra_Pss	4	'#FC8D62'
AnnualInvest	Transport_Fre	Inv_Ann_Tra_Fre	5	'#FC8D62'
EmissionsCO2	Energy supply	Emi_CO2_Ene_Sup	1	'#66C2A5'
EmissionsCO2	Energy demand	Emi_CO2_Ene_Dem	2	'#8DA0CB'
EmissionsCO2	AFOLU	Emi_CO2_AFO	3	'#FC8D62'
EmissionsCO2	Industrial process	Emi_CO2_Ind_Pro	4	'#984EA3'
