Class	Ind	Var	order	color	color_hex
TPES	Coal|w/o CCS	Prm_Ene_Coa_wo_CCS	1	'grey50'	'#808080'
TPES	Coal|w/ CCS	Prm_Ene_Coa_w_CCS	2	'grey30'	'#4c4c4c'
TPES	Oil|w/o CCS	Prm_Ene_Oil_wo_CCS	3	'sandybrown'	'#F4A460'
TPES	Oil|w/ CCS	Prm_Ene_Oil_w_CCS	4	'tan3'	'#CD853F'
TPES	Gas|w/o CCS	Prm_Ene_Gas_wo_CCS	5	'lightgoldenrod'	'#EEDD82'
TPES	Gas|w/ CCS	Prm_Ene_Gas_w_CCS	6	'darkkhaki'	'#BDB76B'
TPES	Nuclear	Prm_Ene_Nuc	7	'moccasin'	'#FFE4B5'
TPES	Hydro	Prm_Ene_Hyp	8	'lightsteelblue'	'#B0C4DE'
TPES	Solar	Prm_Ene_Solar	9	'lightsalmon'	'#FFA07A'
TPES	Wind	Prm_Ene_Win	10	'lightskyblue3'	'#8DB6CD'
TPES	Biomass|w/o CCS	Prm_Ene_Bio_wo_CCS	11	'darkolivegreen2'	'#BCEE68'
TPES	Biomass|w/ CCS	Prm_Ene_Bio_w_CCS	12	'forestgreen'	'#228B22'
TPES	Geothermal	Prm_Ene_Geo	13	'peru'	'#CD853F'
TPES	SecondaryTrade	Prm_Ene_Sec_Ene_Trd	14	'#377EB8'	'#377EB8'
Power	Coal|w/o CCS	Sec_Ene_Ele_Coa_wo_CCS	1	'grey50'	'#808080'
Power	Coal|w/ CCS	Sec_Ene_Ele_Coa_w_CCS	2	'grey30'	'#4c4c4c'
Power	Oil|w/o CCS	Sec_Ene_Ele_Oil_wo_CCS	3	'sandybrown'	'#F4A460'
Power	Oil|w/ CCS	Sec_Ene_Ele_Oil_w_CCS	4	'tan3'	'#CD853F'
Power	Gas|w/o CCS	Sec_Ene_Ele_Gas_wo_CCS	5	'lightgoldenrod'	'#EEDD82'
Power	Gas|w/ CCS	Sec_Ene_Ele_Gas_w_CCS	6	'darkkhaki'	'#BDB76B'
Power	Nuclear	Sec_Ene_Ele_Nuc	7	'moccasin'	'#FFE4B5'
Power	Hydro	Sec_Ene_Ele_Hyp	8	'#0041ff'	'#0041ff'
Power	Solar	Sec_Ene_Ele_Solar	9	'lightsalmon'	'#FFA07A'
Power	Wind	Sec_Ene_Ele_Win	10	'lightskyblue3'	'#8DB6CD'
Power	Biomass|w/o CCS	Sec_Ene_Ele_Bio_wo_CCS	11	'darkolivegreen2'	'#BCEE68'
Power	Biomass|w/ CCS	Sec_Ene_Ele_Bio_w_CCS	12	'forestgreen'	'#228B22'
Power	Geothermal	Sec_Ene_Ele_Geo	13	'peru'	'#CD853F'
Power	Others	Sec_Ene_Ele_Oth	14	'grey'	'#bebebe'
Power_heat	Coal|w/o CCS	Sec_Ene_Ele_Heat_Coa_wo_CCS	1	'grey50'	'#808080'
Power_heat	Coal|w/ CCS	Sec_Ene_Ele_Heat_Coa_w_CCS	2	'grey30'	'#4c4c4c'
Power_heat	Oil|w/o CCS	Sec_Ene_Ele_Oil_wo_CCS	3	'sandybrown'	'#F4A460'
Power_heat	Oil|w/ CCS	Sec_Ene_Ele_Oil_w_CCS	4	'tan3'	'#CD853F'
Power_heat	Gas|w/o CCS	Sec_Ene_Ele_Heat_Gas_wo_CCS	5	'lightgoldenrod'	'#EEDD82'
Power_heat	Gas|w/ CCS	Sec_Ene_Ele_Heat_Gas_w_CCS	6	'darkkhaki'	'#BDB76B'
Power_heat	Nuclear	Sec_Ene_Ele_Heat_Nuc	7	'moccasin'	'#FFE4B5'
Power_heat	Hydro	Sec_Ene_Ele_Hyp	8	'#0041ff'	'#0041ff'
Power_heat	Solar	Sec_Ene_Ele_Solar	9	'lightsalmon'	'#FFA07A'
Power_heat	Wind	Sec_Ene_Ele_Win	10	'lightskyblue3'	'#8DB6CD'
Power_heat	Biomass|w/o CCS	Sec_Ene_Ele_Heat_Bio_wo_CCS	11	'darkolivegreen2'	'#BCEE68'
Power_heat	Biomass|w/ CCS	Sec_Ene_Ele_Heat_Bio_w_CCS	12	'forestgreen'	'#228B22'
Power_heat	Geothermal	Sec_Ene_Ele_Heat_Geo	13	'peru'	'#CD853F'
Power_heat	Others	Sec_Ene_Ele_Heat_Oth	14	'grey'	'#bebebe'
TFC_fuel	Solids coal	Fin_Ene_SolidsCoa	1	'grey70'	'#b2b2b2'
TFC_fuel	Solids bio	Fin_Ene_SolidsBio	2	'darkolivegreen2'	'#BCEE68'
TFC_fuel	Liquids oil	Fin_Ene_Liq_Oil	3	'sandybrown'	'#F4A460'
TFC_fuel	Liquids bio	Fin_Ene_Liq_Bio	4	'darkolivegreen1'	'#CAFF70'
TFC_fuel	Liquids synfuel	Fin_Ene_Liq_Hyd_syn	5	'mediumorchid'	'#BA55D3'
TFC_fuel	Liquids coal	Fin_Ene_Liq_Coa	6	'grey40'	'#666666'
TFC_fuel	Gas Nat.Gas	Fin_Ene_Gas_Nat_Gas	7	'moccasin'	'#FFE4B5'
TFC_fuel	Gas synfuel	Fin_Ene_Gas_Hyd_syn	8	'orchid'	'#DA70D6'
TFC_fuel	Electricity	Fin_Ene_Ele	9	'lightsteelblue'	'#B0C4DE'
TFC_fuel	Heat	Fin_Ene_Heat	10	'salmon'	'#FA8072'
TFC_fuel	Hydrogen	Fin_Ene_Hyd	11	'thistle2'	'#EED2EE'
TFC_Sector	Industry	Fin_Ene_Ind	1	'salmon'	'#FA8072'
TFC_Sector	Transport	Fin_Ene_Tra_w_bun	2	'darkolivegreen2'	'#BCEE68'
TFC_Sector	Commercial	Fin_Ene_Com	3	'#8DA0CB'	'#8DA0CB'
TFC_Sector	Residential	Fin_Ene_Res	4	'#E78AC3'	'#E78AC3'
TFC_Sector	NonEnergy	Fin_Ene_NonEneUse	5	'#E41A1C'	'#E41A1C'
TFC_Sector	CDR	Fin_Ene_Car_Man	6	'#FF9900'	'#FF9900'
